year,all,agri,envi
1971,410283,18991,9816
1972,420982,19976,10383
1973,511396,21809,12108
1974,550712,22642,14360
1975,553687,22965,14736
1976,555326,25430,15782
1977,577877,25987,17682
1978,608398,26862,22071
1979,644440,28814,31706
1980,657027,29137,34868
1981,686743,29793,37233
1982,729829,33682,40432
1983,753047,35214,41289
1984,796722,38772,42741
1985,810579,39289,39425
1986,795873,39150,38436
1987,801580,39676,38050
1988,826622,42154,39467
1989,876109,45558,41748
1990,924769,50089,45155
1991,929248,50351,44246
1992,928748,50500,43624
1993,982574,54982,45240
1994,1018038,63704,46981
1995,1051006,64542,50217
1996,1190582,78393,51754
1997,1217530,82078,53064
1998,1232483,83301,52620
1999,1240633,84463,56457
2000,1307761,87474,55659
2001,1419316,91785,60542
2002,1488803,97281,61455
2003,1573508,99771,64556
2004,1688740,105033,68571
2005,1924742,117188,77953
2006,2025417,128747,86270
2007,2128342,141754,94363
2008,2229388,153244,97018
2009,2347652,161273,106412
2010,2471211,170059,112260
2011,2634542,188799,126180
2012,2766994,200030,128674
2013,2890069,213919,136463
2014,2932805,218939,145641
2015,2933746,227241,152252
2016,3035769,224484,164102
2017,3122250,231455,179614
2018,3245753,238801,210756
2019,3395994,247385,241203
2020,3552457,262552,269758
2021,2707051,208204,233156
